file,model,epoch,avg_loss,batch_count,accuracy,precision,recall,f1,pairwise_total_pairs,pairwise_P-C,pairwise_P-V,pairwise_P-B,pairwise_P-R,pairwise_P-C_rate
codebert.log,microsoft/codebert-base,1,0.6579720149253732,1072,0.487720644666155,0.49140708915145004,0.7022256331542595,0.5781990521327014,276,20,157,77,22,0.07246376811594203
codebert.log,microsoft/codebert-base,2,0.5819291044776119,1072,0.4834996162701458,0.4901421366345713,0.8204144282425173,0.613662456946039,276,15,214,36,11,0.05434782608695652
codebert.log,microsoft/codebert-base,3,0.5135634328358208,1072,0.3914044512663085,0.3886703383162864,0.3791250959324635,0.3838383838383838,276,21,57,147,51,0.07608695652173914
codebert.log,microsoft/codebert-base,4,0.4608983208955224,1072,0.3775901765157329,0.363324764353042,0.3254029163468918,0.34331983805668015,276,25,46,161,44,0.09057971014492754
codebert.log,microsoft/codebert-base,5,0.43728358208955226,1072,0.48158096699923253,0.4896640826873385,0.8726016884113584,0.6273103448275862,276,18,235,12,11,0.06521739130434782
codebert.log,microsoft/codebert-base,6,0.40204011194029854,1072,0.44013814274750573,0.4637883008356546,0.7666922486569455,0.5779577668498699,276,25,210,20,21,0.09057971014492754
codebert.log,microsoft/codebert-base,7,0.37146175373134327,1072,0.43246354566385264,0.45837275307473985,0.7436684574059862,0.5671641791044776,276,26,196,33,21,0.09420289855072464
codebert.log,microsoft/codebert-base,8,0.34703628731343283,1072,0.3656945510360706,0.3581847649918963,0.3392171910974674,0.34844304296413087,276,39,91,101,45,0.14130434782608695
codebert.log,microsoft/codebert-base,9,0.3255768656716418,1072,0.41020721412125866,0.44114688128772633,0.6730621642363775,0.5329687025220298,276,32,177,36,31,0.11594202898550725
codebert.log,microsoft/codebert-base,10,0.3017183768656716,1072,0.3994627782041443,0.42987152034261245,0.6162701458173446,0.5064648375906654,276,30,160,52,34,0.10869565217391304
codebert.log,microsoft/codebert-base,11,0.2885818097014925,1072,0.3545663852647736,0.36218181818181816,0.3821949347659248,0.3719193427931292,276,42,85,91,58,0.15217391304347827
