Log file: codet5.log
Model: Salesforce/codet5-base
Training config:
- train_batch_size: 4
- eval_batch_size: 4
- learning_rate: 1e-05
- num_train_epochs: 50
- max_len: 512
- seed: 42
- logging_steps: 100
- save_steps: 500
Samples: train=5724 val=2606
Partial log: False

Per-epoch summary (tab-separated):
epoch	avg_loss	batch_count	accuracy	precision	recall	f1	pairwise_summary
1	0.8813145420647868	4291	0.5429777436684574	0.5838323353293413	0.2993092862624712	0.395738203957382	total_pairs=276,P-C=28,P-V=24,P-B=206,P-R=18,P-C_rate=0.10144927536231885
2	0.6621647634584014	4291	0.5982348426707598	0.5580235720761559	0.9447429009976976	0.7016243944143631	total_pairs=276,P-C=34,P-V=225,P-B=6,P-R=11,P-C_rate=0.12318840579710146
3	0.5869153530645537	4291	0.6254796623177283	0.5786435786435786	0.9232540291634689	0.7114133648728563	total_pairs=276,P-C=38,P-V=219,P-B=12,P-R=7,P-C_rate=0.13768115942028986
4	0.53763755954323	4291	0.5851880276285495	0.5513888888888889	0.9140445126630852	0.6878429107710078	total_pairs=276,P-C=27,P-V=218,P-B=18,P-R=13,P-C_rate=0.09782608695652174
5	0.4942138391983221	4291	0.5053722179585571	0.5065420560747663	0.41596316193399846	0.45680573114201434	total_pairs=276,P-C=41,P-V=53,P-B=146,P-R=36,P-C_rate=0.14855072463768115
6	0.4788414863668143	4291	0.5425940138142747	0.5494211932324132	0.47352264006139677	0.5086562242374278	total_pairs=276,P-C=51,P-V=58,P-B=134,P-R=33,P-C_rate=0.18478260869565216
7	0.5104378760195759	4291	0.5076745970836531	0.5050251256281407	0.7712970069071374	0.6103856665654418	total_pairs=276,P-C=44,P-V=145,P-B=70,P-R=17,P-C_rate=0.15942028985507245
8	0.4409999976695409	4291	0.5065234075211051	0.5066562255285826	0.4965464313123561	0.5015503875968992	total_pairs=276,P-C=38,P-V=73,P-B=127,P-R=38,P-C_rate=0.13768115942028986
9	0.5298709415054766	4291	0.5809669992325402	0.5703802535023349	0.6561780506523408	0.6102783725910065	total_pairs=276,P-C=58,P-V=112,P-B=77,P-R=29,P-C_rate=0.21014492753623187
10	0.5302413707760429	4291	0.5736761320030699	0.5511727078891258	0.7935533384497314	0.6505190311418685	total_pairs=276,P-C=49,P-V=175,P-B=31,P-R=21,P-C_rate=0.17753623188405798
