Log file: codebert.log
Model: microsoft/codebert-base
Training config:
- train_batch_size: 16
- eval_batch_size: 32
- learning_rate: 2e-05
- num_train_epochs: 50
- max_len: 512
- seed: 42
- logging_steps: 100
- save_steps: 500
Samples: train=5724 val=2606
Partial log: False

Per-epoch summary (tab-separated):
epoch	avg_loss	batch_count	accuracy	precision	recall	f1	pairwise_summary
1	0.6579720149253732	1072	0.487720644666155	0.49140708915145004	0.7022256331542595	0.5781990521327014	total_pairs=276,P-C=20,P-V=157,P-B=77,P-R=22,P-C_rate=0.07246376811594203
2	0.5819291044776119	1072	0.4834996162701458	0.4901421366345713	0.8204144282425173	0.613662456946039	total_pairs=276,P-C=15,P-V=214,P-B=36,P-R=11,P-C_rate=0.05434782608695652
3	0.5135634328358208	1072	0.3914044512663085	0.3886703383162864	0.3791250959324635	0.3838383838383838	total_pairs=276,P-C=21,P-V=57,P-B=147,P-R=51,P-C_rate=0.07608695652173914
4	0.4608983208955224	1072	0.3775901765157329	0.363324764353042	0.3254029163468918	0.34331983805668015	total_pairs=276,P-C=25,P-V=46,P-B=161,P-R=44,P-C_rate=0.09057971014492754
5	0.43728358208955226	1072	0.48158096699923253	0.4896640826873385	0.8726016884113584	0.6273103448275862	total_pairs=276,P-C=18,P-V=235,P-B=12,P-R=11,P-C_rate=0.06521739130434782
6	0.40204011194029854	1072	0.44013814274750573	0.4637883008356546	0.7666922486569455	0.5779577668498699	total_pairs=276,P-C=25,P-V=210,P-B=20,P-R=21,P-C_rate=0.09057971014492754
7	0.37146175373134327	1072	0.43246354566385264	0.45837275307473985	0.7436684574059862	0.5671641791044776	total_pairs=276,P-C=26,P-V=196,P-B=33,P-R=21,P-C_rate=0.09420289855072464
8	0.34703628731343283	1072	0.3656945510360706	0.3581847649918963	0.3392171910974674	0.34844304296413087	total_pairs=276,P-C=39,P-V=91,P-B=101,P-R=45,P-C_rate=0.14130434782608695
9	0.3255768656716418	1072	0.41020721412125866	0.44114688128772633	0.6730621642363775	0.5329687025220298	total_pairs=276,P-C=32,P-V=177,P-B=36,P-R=31,P-C_rate=0.11594202898550725
10	0.3017183768656716	1072	0.3994627782041443	0.42987152034261245	0.6162701458173446	0.5064648375906654	total_pairs=276,P-C=30,P-V=160,P-B=52,P-R=34,P-C_rate=0.10869565217391304
11	0.2885818097014925	1072	0.3545663852647736	0.36218181818181816	0.3821949347659248	0.3719193427931292	total_pairs=276,P-C=42,P-V=85,P-B=91,P-R=58,P-C_rate=0.15217391304347827
12	0.2712023787313433	1072	0.44627782041442826	0.4572127139364303	0.5740598618572524	0.5090166723375298	total_pairs=276,P-C=45,P-V=138,P-B=54,P-R=39,P-C_rate=0.16304347826086957
13	0.2632941884328358	1072	0.4930928626247122	0.493411420204978	0.5172678434382195	0.5050580741850881	total_pairs=276,P-C=45,P-V=106,P-B=90,P-R=35,P-C_rate=0.16304347826086957
14	0.23817539179104477	1072	0.4658480429777437	0.46715867158671587	0.48580199539524177	0.4762979683972912	total_pairs=276,P-C=47,P-V=120,P-B=68,P-R=41,P-C_rate=0.17028985507246377
15	0.24702828358208956	1072	0.38718342287029933	0.42062634989200864	0.5978511128165771	0.49381933438985737	total_pairs=276,P-C=35,P-V=156,P-B=41,P-R=44,P-C_rate=0.12681159420289856
16	0.22350524253731344	1072	0.39639293937068304	0.39925373134328357	0.41059094397544127	0.4048429814604616	total_pairs=276,P-C=42,P-V=97,P-B=89,P-R=48,P-C_rate=0.15217391304347827
17	0.22219381063432836	1072	0.45241749808135073	0.46	0.5471987720644667	0.4998247458815282	total_pairs=276,P-C=51,P-V=114,P-B=75,P-R=36,P-C_rate=0.18478260869565216
18	0.2091299244402985	1072	0.44282425172678436	0.45171743357096567	0.5349194167306216	0.4898102600140548	total_pairs=276,P-C=48,P-V=117,P-B=77,P-R=34,P-C_rate=0.17391304347826086
19	0.21055080410447763	1072	0.40675364543361475	0.4207436399217221	0.4950115118956255	0.45486600846262343	total_pairs=276,P-C=48,P-V=122,P-B=62,P-R=44,P-C_rate=0.17391304347826086
20	0.20624409608208955	1072	0.43438219493476593	0.4568399798081777	0.6945510360706063	0.5511571254567601	total_pairs=276,P-C=36,P-V=170,P-B=42,P-R=28,P-C_rate=0.13043478260869565
21	0.19579234141791044	1072	0.4370683039140445	0.44743589743589746	0.5356868764389869	0.48760041914076147	total_pairs=276,P-C=52,P-V=124,P-B=67,P-R=33,P-C_rate=0.18840579710144928
22	0.19737275559701492	1072	0.4297774366845741	0.44327340359578427	0.5487336914811972	0.49039780521262005	total_pairs=276,P-C=46,P-V=135,P-B=62,P-R=33,P-C_rate=0.16666666666666666
23	0.1787851697761194	1072	0.4501151189562548	0.46512875536480686	0.6653875671527245	0.5475213135459426	total_pairs=276,P-C=47,P-V=166,P-B=35,P-R=28,P-C_rate=0.17028985507246377
24	0.17775354664179105	1072	0.420951650038373	0.42568542568542567	0.4528012279355334	0.4388248419486798	total_pairs=276,P-C=47,P-V=100,P-B=90,P-R=39,P-C_rate=0.17028985507246377
25	0.1854806427238806	1072	0.4217191097467383	0.4339378238341969	0.5141980046047583	0.47067088162978576	total_pairs=276,P-C=44,P-V=120,P-B=78,P-R=34,P-C_rate=0.15942028985507245
26	0.17158258861940298	1072	0.4190330007674597	0.4467977811396873	0.6799693016116654	0.5392574558734023	total_pairs=276,P-C=33,P-V=174,P-B=50,P-R=19,P-C_rate=0.11956521739130435
27	0.17006905503731345	1072	0.4585571757482732	0.455	0.4190330007674597	0.4362764682381143	total_pairs=276,P-C=48,P-V=89,P-B=100,P-R=39,P-C_rate=0.17391304347826086
