file,model,epoch,avg_loss,batch_count,accuracy,precision,recall,f1,pairwise_total_pairs,pairwise_P-C,pairwise_P-V,pairwise_P-B,pairwise_P-R,pairwise_P-C_rate
unixcoder.log,microsoft/unixcoder-base,1,0.6213059701492537,1072,0.409823484267076,0.42660836976889444,0.5241749808135073,0.4703856749311295,276,21,80,137,38,0.07608695652173914
unixcoder.log,microsoft/unixcoder-base,2,0.5076483208955224,1072,0.4190330007674597,0.44959388437649306,0.7221795855717574,0.5541813898704359,276,23,180,42,31,0.08333333333333333
unixcoder.log,microsoft/unixcoder-base,3,0.44188619402985074,1072,0.48465080583269377,0.48589562764456984,0.5287797390636991,0.5064314590224183,276,35,100,112,29,0.12681159420289856
unixcoder.log,microsoft/unixcoder-base,4,0.4018716417910448,1072,0.4716039907904835,0.46469465648854963,0.3737528779739064,0.41429179072735006,276,30,43,171,32,0.10869565217391304
unixcoder.log,microsoft/unixcoder-base,5,0.37062574626865674,1072,0.47735993860322334,0.485741904301595,0.7712970069071374,0.5960854092526691,276,34,174,49,19,0.12318840579710146
unixcoder.log,microsoft/unixcoder-base,6,0.3359699626865672,1072,0.5667689946277821,0.5479603087100331,0.762854950115119,0.6377927494385627,276,49,173,33,21,0.17753623188405798
unixcoder.log,microsoft/unixcoder-base,7,0.3021222947761194,1072,0.5230237912509593,0.5328227571115973,0.3737528779739064,0.43933243121335136,276,50,63,130,33,0.18115942028985507
unixcoder.log,microsoft/unixcoder-base,8,0.27969179104477615,1072,0.5230237912509593,0.5226586102719033,0.5310821181887951,0.5268366958507804,276,48,107,92,29,0.17391304347826086
unixcoder.log,microsoft/unixcoder-base,9,0.2519,1072,0.5249424405218726,0.5205047318611987,0.6331542594013815,0.5713296398891967,276,50,143,56,27,0.18115942028985507
unixcoder.log,microsoft/unixcoder-base,10,0.23554542910447762,1072,0.48081350729086725,0.48754980079681276,0.7513430544896393,0.5913621262458472,276,43,157,56,20,0.15579710144927536
unixcoder.log,microsoft/unixcoder-base,11,0.21621877145522386,1072,0.443207981580967,0.4563164108618654,0.5932463545663853,0.5158491825158492,276,46,123,72,35,0.16666666666666666
unixcoder.log,microsoft/unixcoder-base,12,0.2076966875,1072,0.46316193399846506,0.4765853658536585,0.7498081350729087,0.5827617059349836,276,40,177,32,27,0.14492753623188406
unixcoder.log,microsoft/unixcoder-base,13,0.1910234104477612,1072,0.4712202609363008,0.4710871241326137,0.4689178818112049,0.47,276,53,87,91,45,0.19202898550724637
