Log file: unixcoder.log
Model: microsoft/unixcoder-base
Training config:
- train_batch_size: 16
- eval_batch_size: 32
- learning_rate: 2e-05
- num_train_epochs: 50
- max_len: 512
- seed: 42
- logging_steps: 100
- save_steps: 500
Samples: train=5724 val=2606
Partial log: False

Per-epoch summary (tab-separated):
epoch	avg_loss	batch_count	accuracy	precision	recall	f1	pairwise_summary
1	0.6213059701492537	1072	0.409823484267076	0.42660836976889444	0.5241749808135073	0.4703856749311295	total_pairs=276,P-C=21,P-V=80,P-B=137,P-R=38,P-C_rate=0.07608695652173914
2	0.5076483208955224	1072	0.4190330007674597	0.44959388437649306	0.7221795855717574	0.5541813898704359	total_pairs=276,P-C=23,P-V=180,P-B=42,P-R=31,P-C_rate=0.08333333333333333
3	0.44188619402985074	1072	0.48465080583269377	0.48589562764456984	0.5287797390636991	0.5064314590224183	total_pairs=276,P-C=35,P-V=100,P-B=112,P-R=29,P-C_rate=0.12681159420289856
4	0.4018716417910448	1072	0.4716039907904835	0.46469465648854963	0.3737528779739064	0.41429179072735006	total_pairs=276,P-C=30,P-V=43,P-B=171,P-R=32,P-C_rate=0.10869565217391304
5	0.37062574626865674	1072	0.47735993860322334	0.485741904301595	0.7712970069071374	0.5960854092526691	total_pairs=276,P-C=34,P-V=174,P-B=49,P-R=19,P-C_rate=0.12318840579710146
6	0.3359699626865672	1072	0.5667689946277821	0.5479603087100331	0.762854950115119	0.6377927494385627	total_pairs=276,P-C=49,P-V=173,P-B=33,P-R=21,P-C_rate=0.17753623188405798
7	0.3021222947761194	1072	0.5230237912509593	0.5328227571115973	0.3737528779739064	0.43933243121335136	total_pairs=276,P-C=50,P-V=63,P-B=130,P-R=33,P-C_rate=0.18115942028985507
8	0.27969179104477615	1072	0.5230237912509593	0.5226586102719033	0.5310821181887951	0.5268366958507804	total_pairs=276,P-C=48,P-V=107,P-B=92,P-R=29,P-C_rate=0.17391304347826086
9	0.2519	1072	0.5249424405218726	0.5205047318611987	0.6331542594013815	0.5713296398891967	total_pairs=276,P-C=50,P-V=143,P-B=56,P-R=27,P-C_rate=0.18115942028985507
10	0.23554542910447762	1072	0.48081350729086725	0.48754980079681276	0.7513430544896393	0.5913621262458472	total_pairs=276,P-C=43,P-V=157,P-B=56,P-R=20,P-C_rate=0.15579710144927536
11	0.21621877145522386	1072	0.443207981580967	0.4563164108618654	0.5932463545663853	0.5158491825158492	total_pairs=276,P-C=46,P-V=123,P-B=72,P-R=35,P-C_rate=0.16666666666666666
12	0.2076966875	1072	0.46316193399846506	0.4765853658536585	0.7498081350729087	0.5827617059349836	total_pairs=276,P-C=40,P-V=177,P-B=32,P-R=27,P-C_rate=0.14492753623188406
13	0.1910234104477612	1072	0.4712202609363008	0.4710871241326137	0.4689178818112049	0.47	total_pairs=276,P-C=53,P-V=87,P-B=91,P-R=45,P-C_rate=0.19202898550724637
14	0.1884275307835821	1072	0.5195702225633154	0.5170113408939293	0.5947812739831159	0.5531763026409707	total_pairs=276,P-C=59,P-V=117,P-B=66,P-R=34,P-C_rate=0.213768115942029
15	0.17347644869402987	1072	0.5046047582501919	0.5035377358490566	0.6554105909439755	0.5695231743914638	total_pairs=276,P-C=51,P-V=140,P-B=50,P-R=35,P-C_rate=0.18478260869565216
16	0.15853442537313434	1072	0.4370683039140445	0.45072115384615385	0.5755947812739831	0.5055611729019212	total_pairs=276,P-C=45,P-V=125,P-B=67,P-R=39,P-C_rate=0.16304347826086957
17	0.15613751026119405	1072	0.49693016116653876	0.49748743718592964	0.6078280890253261	0.5471502590673575	total_pairs=276,P-C=50,P-V=121,P-B=69,P-R=36,P-C_rate=0.18115942028985507
18	0.1511559001865672	1072	0.4612432847275518	0.4708597807270629	0.6262471220260937	0.5375494071146245	total_pairs=276,P-C=52,P-V=134,P-B=51,P-R=39,P-C_rate=0.18840579710144928
19	0.13612857182835822	1072	0.4927091327705295	0.49314079422382673	0.5241749808135073	0.5081845238095238	total_pairs=276,P-C=59,P-V=95,P-B=77,P-R=45,P-C_rate=0.213768115942029
20	0.14290105223880598	1072	0.5107444359171144	0.5095628415300546	0.5725249424405219	0.5392121431152873	total_pairs=276,P-C=61,P-V=89,P-B=82,P-R=44,P-C_rate=0.2210144927536232
21	0.1362893628731343	1072	0.48158096699923253	0.4817629179331307	0.48656945510360705	0.4841542573501336	total_pairs=276,P-C=57,P-V=82,P-B=92,P-R=45,P-C_rate=0.20652173913043478
22	0.1291943479477612	1072	0.49347659247889486	0.4957393483709273	0.7590176515732924	0.5997574287446937	total_pairs=276,P-C=41,P-V=168,P-B=36,P-R=31,P-C_rate=0.14855072463768115
23	0.12506994496268659	1072	0.4646968534151957	0.4764344262295082	0.7137375287797391	0.5714285714285714	total_pairs=276,P-C=42,P-V=162,P-B=39,P-R=33,P-C_rate=0.15217391304347827
24	0.11799910074626865	1072	0.4854182655410591	0.49031600407747195	0.7382962394474291	0.5892802450229709	total_pairs=276,P-C=46,P-V=156,P-B=43,P-R=31,P-C_rate=0.16666666666666666
25	0.11525694776119402	1072	0.5141980046047583	0.5116279069767442	0.624712202609363	0.5625431928127159	total_pairs=276,P-C=56,P-V=109,P-B=69,P-R=42,P-C_rate=0.2028985507246377
26	0.1166067770522388	1072	0.5314658480429777	0.5232954545454546	0.7068303914044513	0.6013712047012733	total_pairs=276,P-C=48,P-V=147,P-B=48,P-R=33,P-C_rate=0.17391304347826086
27	0.1078126389925373	1072	0.5191864927091328	0.5142045454545454	0.6945510360706063	0.5909239307868103	total_pairs=276,P-C=52,P-V=145,P-B=46,P-R=33,P-C_rate=0.18840579710144928
28	0.10504017723880597	1072	0.4915579432079816	0.4942226890756303	0.7221795855717574	0.5868412846897412	total_pairs=276,P-C=49,P-V=148,P-B=41,P-R=38,P-C_rate=0.17753623188405798
29	0.11505359608208955	1072	0.476592478894858	0.4844467108618052	0.7290867229470452	0.5821078431372549	total_pairs=276,P-C=48,P-V=153,P-B=35,P-R=40,P-C_rate=0.17391304347826086
30	0.11056310167910448	1072	0.49194167306216424	0.49492998551424433	0.7866462010744436	0.6075874333135743	total_pairs=276,P-C=48,P-V=167,P-B=29,P-R=32,P-C_rate=0.17391304347826086
31	0.11205778917910449	1072	0.4923254029163469	0.4949647532729104	0.7544128933231006	0.5977500760109455	total_pairs=276,P-C=50,P-V=157,P-B=35,P-R=34,P-C_rate=0.18115942028985507
32	0.10719922947761194	1072	0.4731389102072141	0.4799081515499426	0.6415963161933999	0.5490968801313629	total_pairs=276,P-C=52,P-V=114,P-B=61,P-R=49,P-C_rate=0.18840579710144928
33	0.1139068218283582	1072	0.4950115118956255	0.4965184788430637	0.7114351496546432	0.5848580441640379	total_pairs=276,P-C=45,P-V=135,P-B=54,P-R=42,P-C_rate=0.16304347826086957
34	0.1021500447761194	1072	0.4804297774366846	0.4870360955770208	0.7352264006139677	0.5859327217125382	total_pairs=276,P-C=52,P-V=150,P-B=39,P-R=35,P-C_rate=0.18840579710144928
35	0.1027394552238806	1072	0.47352264006139677	0.4806505888951206	0.6577129700690714	0.5554115359688918	total_pairs=276,P-C=51,P-V=119,P-B=66,P-R=40,P-C_rate=0.18478260869565216
36	0.09675027985074627	1072	0.5030698388334612	0.5023228803716608	0.6638526477359938	0.571900826446281	total_pairs=276,P-C=54,P-V=124,P-B=55,P-R=43,P-C_rate=0.1956521739130435
37	0.09585432089552239	1072	0.47390636991557944	0.4805491990846682	0.6446661550268611	0.5506391347099312	total_pairs=276,P-C=51,P-V=117,P-B=63,P-R=45,P-C_rate=0.18478260869565216
38	0.0951379822761194	1072	0.47352264006139677	0.48228043143297383	0.7206446661550269	0.5778461538461539	total_pairs=276,P-C=51,P-V=148,P-B=43,P-R=34,P-C_rate=0.18478260869565216
39	0.0931792546641791	1072	0.46085955487336916	0.47163515016685204	0.6508058326937836	0.5469203482747501	total_pairs=276,P-C=48,P-V=121,P-B=65,P-R=42,P-C_rate=0.17391304347826086
