file,model,epoch,avg_loss,batch_count,accuracy,precision,recall,f1,pairwise_total_pairs,pairwise_P-C,pairwise_P-V,pairwise_P-B,pairwise_P-R,pairwise_P-C_rate
codet5.log,Salesforce/codet5-base,1,0.8813145420647868,4291,0.5429777436684574,0.5838323353293413,0.2993092862624712,0.395738203957382,276,28,24,206,18,0.10144927536231885
codet5.log,Salesforce/codet5-base,2,0.6621647634584014,4291,0.5982348426707598,0.5580235720761559,0.9447429009976976,0.7016243944143631,276,34,225,6,11,0.12318840579710146
codet5.log,Salesforce/codet5-base,3,0.5869153530645537,4291,0.6254796623177283,0.5786435786435786,0.9232540291634689,0.7114133648728563,276,38,219,12,7,0.13768115942028986
codet5.log,Salesforce/codet5-base,4,0.53763755954323,4291,0.5851880276285495,0.5513888888888889,0.9140445126630852,0.6878429107710078,276,27,218,18,13,0.09782608695652174
codet5.log,Salesforce/codet5-base,5,0.4942138391983221,4291,0.5053722179585571,0.5065420560747663,0.41596316193399846,0.45680573114201434,276,41,53,146,36,0.14855072463768115
codet5.log,Salesforce/codet5-base,6,0.4788414863668143,4291,0.5425940138142747,0.5494211932324132,0.47352264006139677,0.5086562242374278,276,51,58,134,33,0.18478260869565216
codet5.log,Salesforce/codet5-base,7,0.5104378760195759,4291,0.5076745970836531,0.5050251256281407,0.7712970069071374,0.6103856665654418,276,44,145,70,17,0.15942028985507245
codet5.log,Salesforce/codet5-base,8,0.4409999976695409,4291,0.5065234075211051,0.5066562255285826,0.4965464313123561,0.5015503875968992,276,38,73,127,38,0.13768115942028986
codet5.log,Salesforce/codet5-base,9,0.5298709415054766,4291,0.5809669992325402,0.5703802535023349,0.6561780506523408,0.6102783725910065,276,58,112,77,29,0.21014492753623187
codet5.log,Salesforce/codet5-base,10,0.5302413707760429,4291,0.5736761320030699,0.5511727078891258,0.7935533384497314,0.6505190311418685,276,49,175,31,21,0.17753623188405798
codet5.log,Salesforce/codet5-base,11,0.6114229832206944,4291,0.5564082885648504,0.5382215288611545,0.7943207981580968,0.6416615003099814,276,46,190,24,16,0.16666666666666666
codet5.log,Salesforce/codet5-base,12,0.6007793299930086,4291,0.570222563315426,0.5521367521367522,0.7436684574059862,0.6337475474166122,276,55,143,53,25,0.19927536231884058
codet5.log,Salesforce/codet5-base,13,0.6388510976462363,4291,0.5594781273983116,0.5455614344503233,0.7122026093630084,0.6178428761651131,276,55,141,53,27,0.19927536231884058
codet5.log,Salesforce/codet5-base,14,0.6981730060591936,4291,0.532233307751343,0.5263157894736842,0.6446661550268611,0.579510175922732,276,55,120,71,30,0.19927536231884058
codet5.log,Salesforce/codet5-base,15,0.8782583959450011,4291,0.5149654643131235,0.5114503816793893,0.6684574059861857,0.5795076513639388,276,47,133,61,35,0.17028985507246377
